,temp,rh,pressure,windDirDeg,windsp,windPeak,windDirClass,no,no2,nox,pm10,pm10Lag,traffic,trafficClass,trafficLag1,trafficLag2,trafficLag3,trafficLag4,dayOfYear,holiday,dayAfterHoliday,dayBeforeHoliday,weekend
2014-01-17,5.333333333333333,80.20833333333333,967.7583333333332,,,,,64.69565217391305,48.52173913043478,77.21739130434783,38.05833333333333,50.4375,1027.6999999999998,2,999.4,972.2,751.2,616.8,17,0,0,0,0
2014-01-18,6.5125,84.25,968.5,,,,,41.78260869565217,42.869565217391305,55.869565217391305,28.1,38.05833333333333,1060.3,2,1027.6999999999998,999.4,972.2,751.2,18,0,0,0,1
2014-01-19,6.495833333333334,92.54166666666669,965.4541666666668,,,,,38.47826086956522,43.95652173913044,53.869565217391305,27.275,28.1,914.7,2,1060.3,1027.6999999999998,999.4,972.2,19,0,0,0,1
2014-01-20,7.004166666666666,95.45833333333331,961.0916666666668,,,,,55.130434782608695,39.69565217391305,64.91304347826087,29.0625,27.275,683.3,1,914.7,1060.3,1027.6999999999998,999.4,20,0,0,0,0
2014-01-21,7.6375,73.70833333333333,965.1458333333334,,,,,45.47826086956522,32.47826086956522,53.43478260869565,26.83478260869565,29.0625,802.4000000000001,2,683.3,914.7,1060.3,1027.6999999999998,21,0,0,0,0
2014-01-22,4.5,83.79166666666667,971.1041666666666,,,,,36.05263157894737,31.26315789473684,45.26315789473684,27.29583333333333,26.83478260869565,986.8,2,802.4000000000001,683.3,914.7,1060.3,22,0,0,0,0
2014-01-23,3.45,94.125,975.6,,,,,46.60869565217392,31.17391304347826,53.56521739130435,24.15833333333333,27.29583333333333,964.5,2,986.8,802.4000000000001,683.3,914.7,23,0,0,0,0
2014-01-24,0.8833333333333333,96.58333333333331,972.5333333333332,,,,,57.47826086956522,32.65217391304348,63.17391304347826,25.558333333333334,24.15833333333333,1004.2,2,964.5,986.8,802.4000000000001,683.3,24,0,0,0,0
2014-01-25,-0.8791666666666668,91.41666666666669,972.0166666666668,,,,,25.043478260869566,33.17391304347826,37.34782608695652,28.47083333333333,25.558333333333334,1019.5,2,1004.2,964.5,986.8,802.4000000000001,25,0,0,0,1
2014-01-26,-4.991666666666666,86.04166666666667,970.8291666666668,,,,,6.217391304347826,21.60869565217392,16.26086956521739,49.42083333333333,28.47083333333333,881.9,2,1019.5,1004.2,964.5,986.8,26,0,0,0,1
2014-01-27,-4.2125,87.75,964.5125,,,,,15.0,38.391304347826086,32.04347826086956,79.02916666666667,49.42083333333333,636.5,1,881.9,1019.5,1004.2,964.5,27,0,0,0,0
2014-01-28,-1.9916666666666665,91.04166666666669,962.8208333333332,,,,,31.26086956521739,47.73913043478261,50.0,97.71666666666664,79.02916666666667,739.9000000000001,1,636.5,881.9,1019.5,1004.2,28,0,0,0,0
2014-01-29,-2.1166666666666667,85.875,966.3166666666666,,,,,26.65217391304348,46.43478260869565,45.60869565217392,63.93333333333333,97.71666666666664,961.3,2,739.9000000000001,636.5,881.9,1019.5,29,0,0,0,0
2014-01-30,-2.2958333333333334,90.16666666666669,974.8291666666668,,,,,22.47826086956522,47.69565217391305,43.04347826086956,85.22500000000001,63.93333333333333,971.3,2,961.3,739.9000000000001,636.5,881.9,30,0,0,0,0
2014-01-31,-1.1083333333333334,93.33333333333331,977.8791666666666,,,,,22.60869565217392,39.60869565217392,38.869565217391305,54.55,85.22500000000001,993.9000000000001,2,971.3,961.3,739.9000000000001,636.5,31,0,0,0,0
