,d_temp,d_rh,n_temp,n_rh,n_pressure,n_precip,n_radiation,n_windDirDeg,n_windsp,n_windPeak,e_temp,e_rh,e_pressure,e_windDirDeg,e_windsp,e_windPeak,s_temp,s_rh,s_windDirDeg,s_windsp,s_windPeak,w_temp,w_rh,w_windDirDeg,w_windsp,w_windPeak,n_windDirClass,e_windDirClass,s_windDirClass,w_windDirClass,dayOfYear,g_holiday,g_dayAfterHoliday,g_dayBeforeHoliday,weekend
2014-01-04,2.6833333333333336,87.625,5.179166666666666,74.66666666666667,975.3416666666668,0.00625,27.8875,210.9583333333333,0.8125,2.8375,2.5416666666666665,88.33333333333333,975.3416666666668,,,,2.5416666666666665,88.33333333333333,193.125,0.3291666666666666,1.1458333333333333,3.470833333333333,84.29166666666667,198.0,0.2041666666666667,1.0416666666666667,9.0,,9.0,9.0,4,0,0,0,1
2014-01-05,6.429166666666667,90.20833333333331,6.945833333333333,88.5,968.2708333333334,0.1320833333333333,18.945833333333333,173.125,1.1125,3.333333333333333,6.4125000000000005,92.04166666666669,968.2708333333334,,,,6.4125000000000005,92.04166666666669,247.7083333333333,0.8416666666666667,2.6375,6.9375,86.58333333333333,198.79166666666663,0.6875,3.225,8.0,,11.0,9.0,5,0,0,1,1
2014-01-06,5.854166666666667,88.95833333333333,6.8375,81.41666666666667,978.0916666666668,0.0,61.31666666666666,193.875,0.5791666666666667,1.9041666666666663,5.870833333333334,90.33333333333331,978.0916666666668,,,,5.870833333333334,90.33333333333331,154.08333333333334,0.3583333333333333,1.2041666666666666,6.483333333333333,82.91666666666667,180.7083333333333,0.2125,0.975,9.0,,7.0,8.0,6,1,0,0,0
2014-01-07,2.5500000000000003,92.83333333333331,3.779166666666667,90.29166666666669,980.2875,0.0,32.87916666666667,139.91666666666666,0.4666666666666667,1.775,2.6083333333333334,95.20833333333331,980.2875,,,,2.6083333333333334,95.20833333333331,183.2083333333333,0.3041666666666666,1.0583333333333331,3.3833333333333333,89.54166666666667,168.04166666666666,0.2375,1.0458333333333334,6.0,,8.0,7.0,7,0,1,0,0
2014-01-08,0.9416666666666668,94.375,2.1166666666666667,92.04166666666669,983.025,0.0,49.11666666666667,155.16666666666666,0.4333333333333333,1.4458333333333335,0.8166666666666668,98.75,983.025,,,,0.8166666666666668,98.75,169.45833333333334,0.3333333333333333,1.1125,1.6416666666666666,91.125,182.375,0.3083333333333333,0.9625,7.0,,8.0,8.0,8,0,0,0,0
2014-01-09,1.491666666666667,92.5,2.313043478260869,91.0,978.3304347826088,0.0,45.45217391304348,141.3913043478261,0.3869565217391305,1.3956521739130436,1.3791666666666669,96.29166666666669,978.3304347826088,,,,1.3791666666666669,96.29166666666669,164.875,0.3458333333333334,1.1458333333333333,2.0083333333333333,88.875,181.66666666666663,0.3041666666666666,0.9958333333333332,6.0,,7.0,8.0,9,0,0,0,0
2014-01-10,2.7,89.5,3.2375000000000003,87.83333333333333,976.025,0.0,52.775,201.91666666666663,0.4125,1.7375,2.9625,92.58333333333331,976.025,,,,2.9625,92.58333333333331,181.8333333333333,0.3875,1.4625,3.283333333333333,85.16666666666667,165.0,0.3583333333333333,1.45,9.0,,8.0,7.0,10,0,0,0,0
2014-01-11,3.5041666666666664,86.54166666666667,3.470833333333333,84.125,978.825,0.0,45.69166666666666,129.41666666666666,0.6291666666666667,1.7458333333333331,3.641666666666667,86.20833333333333,978.825,,,,3.641666666666667,86.20833333333333,222.29166666666663,0.4791666666666667,1.4708333333333332,3.7125,83.0,123.75,0.4125,1.3541666666666667,6.0,,10.0,5.0,11,0,0,0,1
2014-01-12,3.0875,88.58333333333333,3.6916666666666655,86.54166666666667,980.9625,0.0,65.27916666666667,208.8333333333333,0.5291666666666667,1.8291666666666664,3.0083333333333333,88.95833333333333,980.9625,,,,3.0083333333333333,88.95833333333333,203.625,0.4375,1.4708333333333332,3.825,84.375,144.20833333333334,0.3791666666666666,1.4958333333333331,9.0,,9.0,6.0,12,0,0,0,1
2014-01-13,2.6916666666666664,80.29166666666667,3.4,77.20833333333333,976.4541666666668,0.0,70.50416666666666,146.625,0.6291666666666667,1.875,2.825,81.75,976.4541666666668,,,,2.825,81.75,202.16666666666663,0.3,1.1,3.45,76.375,156.33333333333334,0.3333333333333333,1.2958333333333334,6.0,,9.0,7.0,13,0,0,0,0
2014-01-14,3.7875,85.83333333333333,4.0625,81.45833333333333,968.3166666666666,0.0,19.3,77.20833333333333,0.5666666666666667,1.65,3.6208333333333336,86.41666666666667,968.3166666666666,,,,3.6208333333333336,86.41666666666667,219.7083333333333,0.1708333333333333,0.7833333333333333,4.2,82.95833333333333,135.66666666666666,0.2583333333333333,1.0791666666666666,3.0,,10.0,6.0,14,0,0,0,0
2014-01-15,5.2875000000000005,92.16666666666669,5.620833333333334,89.79166666666667,970.75,0.0041666666666666,18.78333333333333,134.70833333333334,0.3958333333333333,1.4583333333333333,5.3,91.66666666666669,970.75,,,,5.3,91.66666666666669,154.70833333333334,0.4708333333333334,1.3666666666666665,5.520833333333333,89.83333333333333,147.83333333333334,0.2875,1.2166666666666666,6.0,,7.0,7.0,15,0,0,0,0
2014-01-16,4.066666666666666,87.70833333333333,4.545833333333333,85.375,971.3875,0.0,51.2125,159.45833333333334,0.5041666666666667,1.6833333333333331,4.25,87.45833333333333,971.3875,,,,4.25,87.45833333333333,180.8333333333333,0.4916666666666667,1.5958333333333332,4.541666666666667,83.83333333333333,170.08333333333334,0.4083333333333334,1.4166666666666667,7.0,,8.0,8.0,16,0,0,0,0
2014-01-17,5.3500000000000005,79.29166666666667,5.4,79.20833333333333,967.7583333333332,0.0,54.11666666666667,104.04166666666669,0.9791666666666666,2.841666666666667,5.333333333333333,80.20833333333333,967.7583333333332,,,,5.333333333333333,80.20833333333333,241.16666666666663,0.5583333333333333,1.9125,5.654166666666666,77.5,114.625,0.6041666666666666,2.1958333333333333,5.0,,11.0,5.0,17,0,0,0,0
2014-01-18,6.383333333333333,85.75,6.520833333333333,83.66666666666667,968.5,0.0,53.7625,134.75,0.8791666666666668,2.254166666666667,6.5125,84.25,968.5,,,,6.5125,84.25,249.66666666666663,0.4291666666666667,1.5666666666666669,6.854166666666667,82.25,77.41666666666667,0.4375,1.6875,6.0,,11.0,3.0,18,0,0,0,1
2014-01-19,6.420833333333333,92.125,6.579166666666667,91.25,965.4541666666668,0.0,27.8875,160.5,0.4791666666666667,1.5208333333333333,6.495833333333334,92.54166666666669,965.4541666666668,,,,6.495833333333334,92.54166666666669,276.2916666666667,0.3583333333333333,1.1916666666666669,6.983333333333333,89.75,115.20833333333331,0.35,1.3958333333333333,7.0,,12.0,5.0,19,0,0,0,1
2014-01-20,6.891666666666667,94.08333333333331,7.008333333333333,93.16666666666669,961.0916666666668,0.0995833333333333,33.2375,105.08333333333331,0.4958333333333333,1.5208333333333333,7.004166666666666,95.45833333333331,961.0916666666668,,,,7.004166666666666,95.45833333333331,212.54166666666663,0.3583333333333333,1.1583333333333334,7.083333333333333,92.75,129.0,0.3166666666666667,1.0875,5.0,,9.0,6.0,20,0,0,0,0
2014-01-21,7.516666666666667,68.83333333333333,7.949999999999999,68.20833333333333,965.1458333333334,0.0041666666666666,38.85,217.16666666666663,0.9041666666666668,3.016666666666667,7.6375,73.70833333333333,965.1458333333334,,,,7.6375,73.70833333333333,264.0416666666667,1.0875,3.0416666666666665,8.125,62.79166666666666,203.2083333333333,0.8833333333333333,3.375,10.0,,12.0,9.0,21,0,0,0,0
